# tlstore items — hand-maintained. build-catalog.sh adds the digests and the
# serial and writes dist/catalog.tsv; never edit that file.
#
# Tab separated, the catalog's columns minus the digest, picture-digest,
# readme-digest and demo-digest columns (all computed by build-catalog.sh):
#   name  kind  version  prefixes  source  target  requires  options  summary
#   category  upstream  setup  standfirst  does1  does2  does3  try  notes
#   author  licence  size  picture  demo  featured  readme-skip  readme
#
# kind      pkg 	 binary 	 file 	 file-once 	 fisher 	 npm-musl 	 bundle
# version   - for pkg, bundle and fisher; the upstream version for a binary; the
#           launcher tag or commit for a template; latest or a pin for npm-musl
# prefixes  * or a comma list of app packages; one row per (name, prefix set),
#           so the per-edition builds are two rows sharing a name
# source    pkg: package names. binary/file: launcher:<path>@<tag or commit>,
#           binaries:<asset>@<tag>, or a URL. npm-musl: npm:<package>#<exe>.
#           fisher: the plugin list, space separated
# target    where it lands, ~ allowed; - means the default
# requires  comma list installed first; a bundle's members live here
# options   ;-separated key=value: env=K=V (comma repeats), tz=1, mode=755,
#           build=<packages needed only while installing>, hidden=1,
#           musl-libs=<hidden binary items copied in beside the musl loader,
#           for an npm-musl binary that needs more of musl than its libc>,
#           host=launcher|termux (comma list; absent means both),
#           min-launcher=X.Y.Z (the oldest launcher that may have it)
# summary   one plain sentence — it is what list and search show the user
#
# tlstore-ui (Revision 5) reads the rest through `tlstore info --tsv`/`list
# --tsv`; a part (hidden=1) leaves them all "-"/0. Rules for each field:
# docs/REVISION-6.md (Revision 5's item-spread-rules.md is retired by it).
#   category    Note taking | Tools | AI | - (a part, or a setup with none)
#   upstream    owner/repo the program comes from; - for a setup or a part
#   setup       1 for the launcher's own arrangement (fish-shell), else 0
#   standfirst  <=42 chars, lower case, no brand name, no full stop; - if none
#   does1..3    exactly three, each <=40 chars, starting with a verb; - if none
#   try         one safe command to run right after installing; - if none
#   notes       0-2 short facts, "|"-separated; - if none
#   author      who makes it, plainly; - if unknown
#   licence     its licence; - if unknown or (for a setup) not one thing
#   size        only when it can be stated truthfully, e.g. "~200 MB"; - else
#   picture     a launcher: source for its cover picture; - if none exists
#   demo        a launcher: source for a short clip of `try` working; - if none
#   featured    1 for the one item the home screen shows large, else 0
#   readme-skip headings of the upstream README's sections the item page
#               leaves out, "|"-separated (Revision 6); - if none
#   readme      a launcher:/binaries: source for a pinned copy of the item's
#               README, read instead of fetching the upstream one; - to keep
#               fetching upstream (pinned content, Revision 6 addendum).
#               build-catalog.sh computes readme-digest and demo-digest (the
#               digest for `readme` and for `demo`) alongside it the same way
#               it already computes picture-digest for `picture`.
#
# Seven items are visible, in the order they appear here: claude-code, dawn,
# fastfetch, fish-shell, kitten, opencode, sigye. Everything else is hidden=1 —
# a part another item pulls in, never listed and never installed by name.
#
# fastfetch links libandroid-glob and dlopens ImageMagick and Chafa for the
# animated logo, so its libraries are a pkg item it requires rather than a note
# nobody reads.
claude-code	npm-musl	latest	com.termux,io.vaj.tl	npm:@anthropic-ai/claude-code-linux-arm64-musl#claude	-	musl-loader,claude-panes-skill	env=DISABLE_AUTOUPDATER=1;tz=1;build=patchelf	Anthropic's Claude Code, about 200 MB.	AI	anthropics/claude-code	0	a coding agent that lives in your terminal	Reads your codebase and explains it	Writes code from plain language requests	Handles git commits, branches and diffs	claude	about 200 mb|needs a claude.ai account to sign in	Anthropic	Proprietary	~200 MB	launcher:scripts/tlstore/pictures/claude-code.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	binaries:hero/claude-code.png@2026.09.24	0	-	binaries:readme/claude-code.md@2026.09.24
dawn	binary	0.1.3+0e958747.2	com.termux	binaries:dawn@2026.09.23	-	dawn-libs	-	A quiet place to write, with your markdown taking shape as you type.	Note taking	andrewmd5/dawn	0	a quiet place to write, headings and all	Shows headings and quotes as you type	Keeps your file plain markdown on disk	Displays a linked picture in place	dawn notes.md	looks best in this launcher's terminal	andrewmd5	MIT	-	launcher:scripts/tlstore/pictures/dawn.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	binaries:hero/dawn.png@2026.09.24	1	Portability	binaries:readme/dawn.md@2026.09.24
dawn	binary	0.1.3+0e958747.2	io.vaj.tl	binaries:dawn-io.vaj.tl@2026.09.23	-	dawn-libs	-	A quiet place to write, with your markdown taking shape as you type.	Note taking	andrewmd5/dawn	0	a quiet place to write, headings and all	Shows headings and quotes as you type	Keeps your file plain markdown on disk	Displays a linked picture in place	dawn notes.md	looks best in this launcher's terminal	andrewmd5	MIT	-	launcher:scripts/tlstore/pictures/dawn.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	binaries:hero/dawn.png@2026.09.24	1	Portability	binaries:readme/dawn.md@2026.09.24
fastfetch	binary	2.67.0	com.termux	binaries:fastfetch@2026.09.02	-	fastfetch-libs,fastfetch-config	host=launcher	System information beside an animated logo — drop any GIF at ~/Pictures/gif/skel.gif.	Tools	fastfetch-cli/fastfetch	0	system info beside an animated logo	Shows system info in a tidy list	Plays a gif you drop in as the logo	Reads your device, shell and battery	fastfetch	only runs in this launcher's terminal	fastfetch-cli	MIT	-	launcher:scripts/tlstore/pictures/fastfetch.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	-	0	-	binaries:readme/fastfetch.md@2026.09.24
fastfetch	binary	2.67.0	io.vaj.tl	binaries:fastfetch-io.vaj.tl@2026.09.02	-	fastfetch-libs,fastfetch-config	host=launcher	System information beside an animated logo — drop any GIF at ~/Pictures/gif/skel.gif.	Tools	fastfetch-cli/fastfetch	0	system info beside an animated logo	Shows system info in a tidy list	Plays a gif you drop in as the logo	Reads your device, shell and battery	fastfetch	only runs in this launcher's terminal	fastfetch-cli	MIT	-	launcher:scripts/tlstore/pictures/fastfetch.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	-	0	-	binaries:readme/fastfetch.md@2026.09.24
fish-shell	bundle	-	*	-	-	fish,config-fish,personal-fish,oh-my-posh,eza,zoxide,fisher,fish-plugins	-	The fish shell with the launcher's setup: the wallpaper prompt, a nicer ls and quicker directory jumping.	Tools	-	1	shell setup with a matching prompt	Follows your wallpaper in the prompt	Jumps to used directories by name	Colours ls output with icons	fish	-	-	-	-	-	-	0	-	-
kitten	binary	0.48.2	*	binaries:kitten@2026.09.02	-	-	-	Kitty's companion tool, for images and files in the terminal.	Tools	kovidgoyal/kitty	0	a companion for pictures and files	Shows pictures right in the terminal	Sends files between machines	Compares files side by side	kitten --help	best in a kitty-compatible terminal	Kovid Goyal	GPL-3.0	-	launcher:scripts/tlstore/pictures/kitten.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	-	0	-	-
opencode	npm-musl	latest	com.termux,io.vaj.tl	npm:opencode-linux-arm64-musl#bin/opencode	-	musl-loader,musl-libstdcxx,musl-libgcc	env=OPENCODE_DISABLE_AUTOUPDATE=1;tz=1;build=patchelf;musl-libs=musl-libstdcxx,musl-libgcc	The open source coding agent, about 200 MB.	AI	anomalyco/opencode	0	an open source agent for the terminal	Writes and edits code from your prompts	Talks to the provider you choose	Keeps its own updater switched off	opencode	about 200 mb|needs a provider account to sign in	anomalyco	MIT	~200 MB	launcher:scripts/tlstore/pictures/opencode.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	-	0	-	binaries:readme/opencode.md@2026.09.24
sigye	binary	0.6.0	*	binaries:sigye@2026.09.02	-	-	-	A clock for the terminal.	Tools	am2rican5/sigye	0	a clock built for the terminal	Shows the time in ascii art	Switches between clock styles	Cycles through colour themes	sigye	-	am2rican5	MIT	-	launcher:scripts/tlstore/pictures/sigye.jpg@5253e29ae8e128aad09b08fd57eb115ba66140d8	binaries:hero/sigye.png@2026.09.24	0	-	binaries:readme/sigye.md@2026.09.24
config-fish	file	e4422e22	*	launcher:docs/en/examples/config.fish@e4422e22c5a7a760c5bb1391e5978c8c7b36eb5f	~/.config/fish/config.fish	fish	hidden=1	The launcher's fish configuration.	-	-	0	-	-	-	-	-	-	-	-	-	-	-	0	-	-
